image_name,steering_angle,steering_velocity_sign,velocity
train/images/0_0000.jpg,6.0,0.0,6.9666666984558105
train/images/0_0001.jpg,9.399999618530272,0.0,7.030555725097656
train/images/0_0002.jpg,10.199999809265137,0.0,7.077777862548828
train/images/0_0003.jpg,9.5,0.0,7.125
train/images/0_0004.jpg,7.900000095367432,0.0,7.202777862548828
train/images/0_0005.jpg,5.900000095367432,0.0,7.25
train/images/0_0006.jpg,3.0999999046325684,0.0,7.294444561004639
train/images/0_0007.jpg,1.0,0.0,7.34166669845581
train/images/0_0008.jpg,-0.699999988079071,0.0,7.375
train/images/0_0009.jpg,-0.699999988079071,0.0,7.405555725097656
train/images/0_0010.jpg,-0.3000000119209289,0.0,7.436110973358154
train/images/0_0011.jpg,-0.1000000014901161,0.0,7.513888835906982
train/images/0_0012.jpg,-0.1000000014901161,0.0,7.544444561004639
train/images/0_0013.jpg,-0.1000000014901161,0.0,7.544444561004639
train/images/0_0014.jpg,-0.1000000014901161,0.0,7.577777862548828
train/images/0_0015.jpg,0.0,0.0,7.625
train/images/0_0016.jpg,0.0,0.0,7.669444561004639
train/images/0_0017.jpg,0.0,0.0,7.669444561004639
train/images/0_0018.jpg,-0.3000000119209289,0.0,7.686110973358154
train/images/0_0019.jpg,-1.399999976158142,0.0,7.71666669845581
train/images/0_0020.jpg,-2.0999999046325684,0.0,7.763888835906982
train/images/0_0021.jpg,-2.5,0.0,7.780555725097656
train/images/0_0022.jpg,-2.400000095367432,0.0,7.827777862548828
train/images/0_0023.jpg,-2.200000047683716,0.0,7.875
train/images/0_0024.jpg,-2.200000047683716,0.0,7.905555725097656
train/images/0_0025.jpg,-2.400000095367432,0.0,7.905555725097656
train/images/0_0026.jpg,-2.400000095367432,0.0,7.936110973358154
train/images/0_0027.jpg,-2.299999952316284,0.0,7.96666669845581
train/images/0_0028.jpg,-2.200000047683716,0.0,8.0
train/images/0_0029.jpg,-2.299999952316284,0.0,8.01388931274414
train/images/0_0030.jpg,-2.5,0.0,8.04444408416748
train/images/0_0031.jpg,-2.5999999046325684,0.0,8.061111450195312
train/images/0_0032.jpg,-2.900000095367432,0.0,8.061111450195312
train/images/0_0033.jpg,-3.0,0.0,8.077777862548828
train/images/0_0034.jpg,-3.0,0.0,8.125
train/images/0_0035.jpg,-3.0,0.0,8.155555725097656
train/images/0_0036.jpg,-3.0999999046325684,0.0,8.16944408416748
train/images/0_0037.jpg,-3.900000095367432,0.0,8.186111450195312
train/images/0_0038.jpg,-5.300000190734863,0.0,8.202777862548828
train/images/0_0039.jpg,-8.100000381469727,0.0,8.25
train/images/0_0040.jpg,-11.300000190734863,0.0,8.25
train/images/0_0041.jpg,-15.0,0.0,8.29444408416748
train/images/0_0042.jpg,-19.700000762939453,0.0,8.311111450195312
train/images/0_0043.jpg,-22.5,0.0,8.327777862548828
